Block,Number,Garlic,Salt,Spicy,Lime,Onion,Tomato,Overall
1,1,3,3,2,1,4,2,3
1,2,3,3,3,2,3,3,4
1,3,2,3,1,1,3,4,2
1,4,3,1,3,1,2,4,3
1,5,4,3,2,1,4,3,2
1,6,1,3,3,1,4,2,2
1,7,3,3,1,2,3,3,4
1,8,3,3,2,1,4,3,3
1,9,2,3,1,1,3,3,3
1,10,3,3,4,1,3,2,4
1,11,3,3,2,1,4,2,3
1,12,3,3,4,2,3,2,4
1,13,3,3,2,2,2,1,2
1,14,3,3,3,1,3,3,4
1,15,3,3,1,1,4,3,3
1,16,3,3,3,1,3,3,4
1,17,3,3,2,1,3,3,3
1,18,3,3,2,1,3,3,3
1,19,3,3,2,1,3,3,3
1,20,3,3,4,1,3,3,4
2,1,3,2,1,3,5,1,4
2,2,3,2,2,2,3,2,4
2,3,3,3,2,3,2,3,4
2,4,3,3,2,2,3,2,2
2,5,3,2,1,1,3,1,3
2,6,2,3,4,1,1,3,4
2,7,3,3,3,1,3,3,4
2,8,3,3,3,1,3,2,3
2,9,5,1,1,1,4,1,2
2,10,3,3,4,2,3,4,3
2,11,1,1,2,1,1,1,1
2,12,3,2,2,2,3,2,2
2,13,1,2,1,1,5,2,1
2,14,3,3,4,3,4,3,5
2,15,3,3,1,3,3,3,4
2,16,4,3,4,2,4,3,3
2,17,3,2,2,2,4,4,2
2,18,3,2,2,2,4,2,2
2,19,3,2,1,2,4,3,3
2,20,3,3,2,2,3,3,2
3,1,3,1,1,1,3,1,2
3,2,2,1,2,1,4,1,2
3,3,2,1,1,1,5,1,3
3,4,2,2,1,1,5,1,3
3,5,2,1,1,1,4,3,3
3,6,3,1,2,1,3,1,3
3,7,2,2,1,1,4,1,2
3,8,3,2,3,1,5,2,4
3,9,3,1,1,1,5,2,2
3,10,3,2,3,1,3,1,4
3,11,3,1,1,1,4,3,4
3,12,3,1,3,1,4,3,4
3,13,1,2,1,1,5,1,1
3,14,3,2,2,1,4,3,3
3,15,2,2,1,1,3,3,4
3,16,2,2,1,1,5,2,2
3,17,3,2,1,1,3,3,3
3,18,2,3,1,1,4,3,4
3,19,2,2,1,1,3,3,4
3,20,3,2,1,1,4,3,4